,sku,description,url,price,UPC,keyword
0,433nhtbio,Green Herc 1/6 Size Biodegradable Plastic T-Shirt Bag - 500/Case,https://www.webstaurantstore.com/green-herc-1-6-size-biodegradable-plastic-t-shirt-bag-case/433NHTBIO.html,From $25.11/Case,,disposable-food-packaging-supplies
1,150403,"Choice 12"" x 12"" Newspaper Print Deli Sandwich Wrap Paper - 1000/Case",https://www.webstaurantstore.com/choice-12-x-12-newspaper-print-deli-sandwich-wrap-paper-case/150403.html,$32.99/Case,,disposable-food-packaging-supplies
2,12212105,"Choice 12"" x 10 3/4"" Food Service Interfolded Pop-Up Foil Sheets - 500/Box",https://www.webstaurantstore.com/choice-12-x-10-3-4-food-service-interfolded-pop-up-foil-sheets-box/12212105.html,From $16.99/Box,016194000696,disposable-food-packaging-supplies
3,245wedgepzza,Choice White Clay Coated Clamshell Pizza Slice Box - 400/Case,https://www.webstaurantstore.com/choice-white-clay-coated-clamshell-pizza-slice-box-case/245WEDGEPZZA.html,From $70.92/Case,,disposable-food-packaging-supplies
4,433300100nat,"Choice 6"" x 1"" x 8"" Kraft Customizable Sandwich / Cookie Bag - 2000/Case",https://www.webstaurantstore.com/choice-6-x-1-x-8-sandwich-cookie-bag-case/433300100NAT.html,$41.99/Case,10072181001005,disposable-food-packaging-supplies
5,150398,"Choice 12"" x 12"" Red Check Deli Sandwich Wrap Paper - 5000/Case",https://www.webstaurantstore.com/choice-12-x-12-red-check-deli-sandwich-wrap-paper-case/150398.html,$68.49/Case,10608254034948,disposable-food-packaging-supplies
6,12218x5hd,"Choice 18"" x 500' Food Service Heavy-Duty Aluminum Foil Roll",https://www.webstaurantstore.com/choice-18-x-500-food-service-heavy-duty-aluminum-foil-roll/12218X5HD.html,$28.49/Each,016194000283,disposable-food-packaging-supplies
7,1503003536,"Choice 12"" x 12"" Natural Kraft Customizable Basket Liner / Deli Wrap - 5000/Case",https://www.webstaurantstore.com/choice-12-x-12-natural-kraft-basket-liner-deli-wrap-case/1503003536.html,$69.99/Case,10608254035365,disposable-food-packaging-supplies
8,1229105,"Choice 9"" x 10 3/4"" Food Service Interfolded Pop-Up Foil Sheets",https://www.webstaurantstore.com/9-x-10-3-4-food-service-interfolded-pop-up-foil-sheets/1229105.html,From $12.99/Box,016194000726,disposable-food-packaging-supplies
9,150399,"Choice 12"" x 12"" Black Check Deli Sandwich Wrap Paper - 5000/Case",https://www.webstaurantstore.com/choice-12-x-12-black-check-deli-sandwich-wrap-paper-case/150399.html,$68.49/Case,10608254035143,disposable-food-packaging-supplies
10,182rrf14,"Choice 10"" x 14"" Plastic Food Bag On A Roll - 1000/Case",https://www.webstaurantstore.com/choice-10-x-14-plastic-food-bag-on-a-roll-case/182RRF14.html,From $13.84/Case,072093199008,disposable-food-packaging-supplies
11,12218x1st,"Choice 18"" x 1000' Food Service Standard Aluminum Foil Roll",https://www.webstaurantstore.com/18-x-1000-food-service-standard-aluminum-foil-roll/12218X1ST.html,From $56.36/Each,016194000177,disposable-food-packaging-supplies
12,12212x1st,"Choice 12"" x 1000' Food Service Standard Aluminum Foil Roll",https://www.webstaurantstore.com/choice-12-x-1000-food-service-standard-aluminum-foil-roll/12212X1ST.html,Plus Member Discount,016194000122,disposable-food-packaging-supplies
